race_id,枠番,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,厩舎,馬体重
202605021011 ,1,1,ミツカネベネラ,牝,3,横山和生,55,168.2,15,鈴木伸尋,
202605021011 ,1,2,レイクラシック,牝,3,Ｍ．ディー,55,62.7,11,新谷功一,
202605021011 ,2,3,アランカール,牝,3,武豊,55,7.1,4,斉藤崇史,
202605021011 ,2,4,ロングトールサリー,牝,3,戸崎圭太,55,219.7,17,福永祐一,
202605021011 ,3,5,リアライズルミナス,牝,3,津村明秀,55,172.1,16,橋口慎介,
202605021011 ,3,6,ロンギングセリーヌ,牝,3,石橋脩,55,133.7,14,竹内正洋,
202605021011 ,4,7,スタニングレディ,牝,3,三浦皇成,55,491,18,高木登,
202605021011 ,4,8,スマートプリエール,牝,3,原優介,55,33.2,9,大久保龍志,
202605021011 ,5,9,トリニティ,牝,3,西村淳也,55,32.3,8,安田翔伍,
202605021011 ,5,10,スターアニス,牝,3,松山弘平,55,2.9,1,高野友和,
202605021011 ,6,11,アメティスタ,牝,3,横山武史,55,57.2,10,牧浦充徳,
202605021011 ,6,12,ドリームコア,牝,3,Ｃ．ルメール,55,6.9,3,大竹正博,
202605021011 ,7,13,エンネ,牝,3,坂井瑠星,55,13.4,5,吉岡辰弥,
202605021011 ,7,14,ソルパッサーレ,牝,3,浜中俊,55,87.9,13,四位洋文,
202605021011 ,7,15,アンジュドジョワ,牝,3,岩田望来,55,23.3,7,福永祐一,
202605021011 ,8,16,ジュウリョクピエロ,牝,3,今村聖奈,55,21,6,寺島良,
202605021011 ,8,17,スウィートハピネス,牝,3,高杉吏麒,55,72.5,12,北出成人,
202605021011 ,8,18,ラフターラインズ,牝,3,Ｄ．レーン,55,4.1,2,小笠倫弘,
