年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,スマートピクタス,牡,3,国分優,55.0,82.8,12,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,2,デルマタイセツ,牡,3,加藤,55.0,103.5,14,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,3,ミリオンアップ,牝,3,松本,55.0,46.8,10,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,4,ウルダ,牝,3,城戸,55.0,114.6,15,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,5,コイタマチャン,牝,3,松山,55.0,7.8,3,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,6,シーティーピギー,牝,3,北村友,55.0,2.0,1,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,7,セントピュアベース,牝,3,酒井,55.0,82.8,13,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,8,ゼルノードゥス,牝,3,角田和,55.0,44.5,9,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,9,スマートルヴァン,牝,3,岩田望,55.0,37.4,8,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,10,オヤツノジカン,牝,3,幸,55.0,14.1,5,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,11,ウントターシャ,牝,3,飯田良,55.0,13.9,4,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,12,ブルーブリーディン,牝,3,吉村,55.0,17.4,7,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,13,トリビア,牝,3,古川吉,55.0,16.3,6,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,14,レザーブンドレス,牝,3,松若,55.0,46.8,11,京都,3,3歳未勝利,1800,稍重,15,ダ
2026,5,3,15,ヤマニンエルファバ,牝,3,武豊,55.0,4.3,2,京都,3,3歳未勝利,1800,稍重,15,ダ
